startup_name,industry,funding,founder_experience,employees,location,age,revenue,success
Startup_147,Health,1976275,,74.0,India,12.0,39870.0,0
Startup_148,CleanTech,abc,12.0,,India,7.0,663162.0,0
Startup_149,Fintech,abc,,,Canada,14.0,,1
Startup_150,Fintech,abc,13.0,246.0,USA,,810141.0,1
Startup_151,AI,,,321.0,,,325062.0,0
Startup_152,Health,NaN,,,Canada,12.0,81629.0,1
Startup_153,Ecommerce,,17.0,,UK,8.0,,0
Startup_154,Ecommerce,1988341,,62.0,Canada,12.0,524492.0,0
Startup_155,Edtech,abc,,,Germany,5.0,826991.0,1
Startup_156,CleanTech,1584837,11.0,256.0,USA,5.0,279747.0,1
Startup_157,Fintech,abc,19.0,,Canada,,658353.0,0
Startup_158,Fintech,abc,9.0,309.0,,,,1
Startup_159,Edtech,1937646,1.0,377.0,,,388501.0,1
Startup_160,Edtech,,,,USA,,,1
Startup_161,Fintech,,10.0,,UK,,408043.0,0
Startup_162,Health,NaN,8.0,126.0,,,534723.0,1
Startup_163,CleanTech,abc,8.0,,Canada,,707281.0,0
Startup_164,Health,NaN,,,UK,4.0,564447.0,1
Startup_165,AI,547562,17.0,,UK,1.0,,0
Startup_166,Health,,,224.0,UK,13.0,,1
Startup_167,Health,,,,Germany,6.0,,0
Startup_168,Ecommerce,630466,5.0,,Germany,,149473.0,1
Startup_169,Ecommerce,abc,,255.0,Canada,13.0,188964.0,0
Startup_170,Ecommerce,NaN,1.0,378.0,,1.0,644785.0,0
Startup_171,AI,,,,Canada,,,0
Startup_172,Fintech,185230,,465.0,India,,,1
Startup_173,Fintech,abc,,389.0,UK,,,0
Startup_174,CleanTech,,,480.0,USA,1.0,735460.0,1
Startup_175,Health,NaN,,362.0,India,,,1
Startup_176,Fintech,NaN,5.0,,Germany,,,0
Startup_177,Ecommerce,,19.0,149.0,Germany,,469613.0,0
Startup_178,Edtech,,1.0,55.0,USA,13.0,,1
Startup_179,AI,abc,,,Canada,8.0,914751.0,1
Startup_180,Fintech,NaN,,43.0,UK,10.0,528153.0,0
Startup_181,Fintech,NaN,,383.0,UK,2.0,581419.0,1
Startup_182,CleanTech,,,393.0,Canada,14.0,,0
Startup_183,Edtech,abc,17.0,,USA,7.0,,1
Startup_184,Fintech,NaN,14.0,70.0,Canada,,,0
Startup_185,AI,NaN,6.0,196.0,USA,12.0,26949.0,1
Startup_186,Edtech,NaN,2.0,,UK,14.0,570222.0,1
Startup_187,Ecommerce,abc,,312.0,USA,9.0,335557.0,0
Startup_188,CleanTech,NaN,15.0,34.0,Canada,,727689.0,0
Startup_189,AI,303490,,137.0,Canada,,453027.0,0
Startup_190,Health,abc,17.0,,USA,,826395.0,1
Startup_191,Ecommerce,,,38.0,UK,6.0,,0
Startup_192,Fintech,1104145,,130.0,Germany,,278090.0,1
Startup_193,Edtech,NaN,,375.0,Canada,,699574.0,1
Startup_194,CleanTech,NaN,,99.0,,,686997.0,1
Startup_195,Health,,,392.0,USA,8.0,932259.0,1
Startup_196,Health,abc,3.0,,UK,,,0
Startup_197,Edtech,abc,18.0,,UK,10.0,,1
Startup_198,Fintech,abc,,,UK,12.0,,0
Startup_199,Ecommerce,1135244,,5.0,,5.0,386824.0,0
Startup_200,AI,197979,14.0,38.0,USA,1.0,111865.0,0
Startup_201,Ecommerce,1997436,9.0,286.0,Germany,9.0,829006.0,0
Startup_202,Ecommerce,1272869,,,Canada,,956766.0,0
Startup_203,AI,,17.0,,Canada,4.0,230176.0,1
Startup_204,Health,240471,17.0,,,13.0,,0
Startup_205,CleanTech,1617438,,131.0,,,,1
Startup_206,AI,abc,,,UK,2.0,692108.0,1
Startup_207,Health,NaN,,191.0,USA,,278930.0,1
Startup_208,Health,abc,15.0,,UK,,,1
Startup_209,Health,,,,UK,,633157.0,0
Startup_210,CleanTech,1728050,,,UK,,451734.0,1
Startup_211,Edtech,abc,,,Canada,9.0,,0
Startup_212,Health,,,29.0,,1.0,678956.0,1
Startup_213,Health,1470499,,,USA,,,0
Startup_214,Fintech,abc,18.0,,USA,4.0,,0
Startup_215,Health,NaN,15.0,,Germany,8.0,,0
Startup_216,Ecommerce,,19.0,46.0,Canada,,,0
Startup_217,Edtech,1292629,2.0,447.0,UK,,,0
Startup_218,CleanTech,,6.0,,USA,,,0
Startup_219,AI,952580,6.0,74.0,Canada,7.0,,0
Startup_220,Fintech,abc,11.0,450.0,Canada,,882557.0,0
Startup_221,Edtech,194990,9.0,251.0,,3.0,,0
Startup_222,AI,abc,,233.0,India,4.0,,0
Startup_223,CleanTech,abc,,326.0,Germany,4.0,704106.0,1
Startup_224,Fintech,NaN,,138.0,Germany,,,0
Startup_225,Ecommerce,NaN,6.0,,,,779224.0,1
Startup_226,Fintech,abc,,,India,8.0,,1
Startup_227,CleanTech,,,304.0,UK,,,1
Startup_228,CleanTech,,,279.0,India,4.0,200448.0,1
Startup_229,Edtech,,,144.0,Canada,1.0,124537.0,1
Startup_230,Fintech,,,,Canada,,302762.0,1
Startup_231,CleanTech,,4.0,,India,11.0,,0
Startup_232,Ecommerce,NaN,,,UK,,,1
Startup_233,Ecommerce,NaN,,,,2.0,,0
Startup_234,Health,NaN,2.0,88.0,UK,,676702.0,0
Startup_235,Ecommerce,1554868,,277.0,,9.0,,0
Startup_236,Edtech,,6.0,423.0,,14.0,62078.0,0
Startup_237,AI,,,322.0,,12.0,,1
Startup_238,Fintech,NaN,14.0,377.0,India,,,0
Startup_239,Fintech,NaN,2.0,,,3.0,,1
Startup_240,Edtech,,,,Germany,6.0,,1
Startup_241,Health,1185964,,271.0,Canada,9.0,78596.0,1
Startup_242,Edtech,,,,USA,5.0,542244.0,1
Startup_243,CleanTech,,14.0,,UK,,827043.0,1
Startup_244,CleanTech,NaN,,,Canada,,,1
Startup_245,Health,,8.0,,UK,,59711.0,1
Startup_246,Ecommerce,abc,,357.0,India,,,0
Startup_247,CleanTech,NaN,1.0,,Germany,1.0,,0
Startup_248,AI,NaN,,466.0,Germany,,973959.0,1
Startup_249,Edtech,NaN,,,Canada,,585445.0,0
Startup_250,Fintech,NaN,3.0,395.0,Canada,,830951.0,1
Startup_251,Ecommerce,1588601,,115.0,,,287552.0,0
Startup_252,CleanTech,,,,USA,4.0,595644.0,1
Startup_253,AI,abc,1.0,489.0,Canada,,,1
Startup_254,AI,314480,4.0,90.0,UK,,52265.0,1
Startup_255,Ecommerce,NaN,10.0,357.0,USA,6.0,,0
Startup_256,Edtech,,,232.0,Canada,,,1
Startup_257,AI,NaN,,161.0,,8.0,,0
Startup_258,Health,,,328.0,Canada,,,0
Startup_259,Fintech,,19.0,,UK,,512313.0,0
Startup_260,CleanTech,NaN,5.0,,Canada,11.0,408349.0,1
Startup_261,Edtech,NaN,8.0,,Germany,,950503.0,1
Startup_262,Fintech,1153894,15.0,350.0,Germany,14.0,896906.0,0
Startup_263,Edtech,183515,13.0,108.0,UK,14.0,,0
Startup_264,Health,NaN,1.0,115.0,India,8.0,250203.0,1
Startup_265,Edtech,863738,12.0,496.0,India,,231951.0,1
Startup_266,Ecommerce,1603731,5.0,,,,910695.0,0
Startup_267,Ecommerce,abc,,,,,337320.0,1
Startup_268,CleanTech,NaN,19.0,33.0,,14.0,195399.0,0
Startup_269,Ecommerce,NaN,11.0,,Germany,1.0,883021.0,0
Startup_270,Fintech,,14.0,424.0,Canada,6.0,399862.0,1
Startup_271,Ecommerce,NaN,,323.0,India,6.0,188502.0,0
Startup_272,CleanTech,1531074,,,USA,,687054.0,0
Startup_273,Edtech,368408,,206.0,,4.0,,1
Startup_274,CleanTech,abc,9.0,295.0,India,,,0
Startup_275,Health,1067433,,,USA,,,0
Startup_276,AI,,,351.0,India,1.0,682143.0,1
Startup_277,CleanTech,,,255.0,USA,3.0,,1
Startup_278,Ecommerce,NaN,,184.0,USA,6.0,,0
Startup_279,Ecommerce,1317543,,,Canada,13.0,,0
Startup_280,Ecommerce,,,473.0,UK,1.0,,1
Startup_281,AI,abc,9.0,,India,,,0
Startup_282,Edtech,,8.0,,Germany,,750880.0,1
Startup_283,AI,,13.0,482.0,USA,7.0,,0
Startup_284,CleanTech,,,322.0,USA,,,1
Startup_285,CleanTech,1840380,16.0,,,,,0
Startup_286,Fintech,476752,14.0,,India,,,0
Startup_287,Fintech,NaN,,118.0,India,14.0,320709.0,1
Startup_288,AI,,,,India,,,0
Startup_289,CleanTech,NaN,,135.0,India,,,1
Startup_290,Edtech,abc,,,USA,1.0,,0
Startup_291,Fintech,1728811,,,USA,,,0
Startup_292,Health,1083024,3.0,,USA,,,0
Startup_293,AI,NaN,,58.0,UK,9.0,,1
Startup_294,Ecommerce,,3.0,55.0,Canada,,,0
Startup_295,AI,1724222,,,Canada,3.0,,0
Startup_296,AI,abc,14.0,292.0,,8.0,,0
Startup_297,Ecommerce,,16.0,456.0,Germany,4.0,519876.0,0
Startup_298,Health,1744164,14.0,227.0,Germany,7.0,,1
Startup_299,Ecommerce,97057,7.0,,UK,,298176.0,0
Startup_300,Ecommerce,,19.0,116.0,,13.0,,1
Startup_301,Fintech,,,6.0,Germany,1.0,,1
Startup_302,Edtech,NaN,11.0,238.0,Canada,,114914.0,1
Startup_303,AI,NaN,12.0,,Germany,5.0,,1
Startup_304,CleanTech,NaN,,230.0,India,,,0
Startup_305,Fintech,1219250,12.0,284.0,,1.0,,1
Startup_306,AI,1540077,,219.0,India,1.0,,1
Startup_307,Fintech,,,,India,9.0,579655.0,0
Startup_308,Health,NaN,13.0,,India,,43752.0,0
Startup_309,AI,NaN,,,UK,,,1
Startup_310,Edtech,1336585,13.0,102.0,,7.0,,0
Startup_311,Health,NaN,,,UK,5.0,,1
Startup_312,Fintech,abc,9.0,,,,977456.0,1
Startup_313,Edtech,,,,Germany,12.0,,1
Startup_314,Fintech,abc,10.0,346.0,Germany,,,1
Startup_315,Fintech,abc,6.0,223.0,USA,8.0,771883.0,1
Startup_316,AI,1276476,7.0,,,13.0,949168.0,1
Startup_317,AI,abc,,,USA,,,0
Startup_318,Ecommerce,abc,,,Canada,,,0
Startup_319,Fintech,585843,,,Germany,13.0,601780.0,0
Startup_320,Fintech,abc,,,Canada,,,0
Startup_321,Edtech,abc,7.0,236.0,USA,3.0,398165.0,1
Startup_322,CleanTech,758662,15.0,,USA,,665188.0,0
Startup_323,Ecommerce,1581191,,254.0,UK,4.0,225550.0,0
Startup_324,Edtech,abc,19.0,231.0,Germany,4.0,,0
Startup_325,Ecommerce,979616,13.0,,India,,198376.0,0
Startup_326,Edtech,NaN,,,India,,,0
Startup_327,Ecommerce,,1.0,,USA,13.0,,1
Startup_328,Edtech,NaN,10.0,,Germany,7.0,44354.0,1
Startup_329,Ecommerce,,,,USA,,519883.0,1
Startup_330,CleanTech,NaN,,358.0,Canada,12.0,,0
Startup_331,Fintech,666036,,,India,11.0,813392.0,1
Startup_332,Edtech,abc,,334.0,Germany,9.0,,0
Startup_333,AI,1358144,15.0,,USA,14.0,719983.0,0
Startup_334,AI,NaN,,,USA,5.0,,0
Startup_335,CleanTech,,5.0,378.0,USA,6.0,,0
Startup_336,CleanTech,NaN,18.0,,India,12.0,,1
Startup_337,Health,abc,,,Canada,,536142.0,1
Startup_338,AI,abc,10.0,20.0,USA,,,1
Startup_339,Ecommerce,1766118,,274.0,Canada,,,1
Startup_340,Fintech,abc,16.0,,,,586074.0,0
Startup_341,CleanTech,,18.0,227.0,Germany,14.0,,0
Startup_342,CleanTech,1386230,,406.0,India,,,1
Startup_343,Fintech,NaN,17.0,,,,,1
Startup_344,Fintech,abc,13.0,,USA,,,0
Startup_345,Ecommerce,NaN,12.0,,India,8.0,813072.0,0
Startup_346,Edtech,NaN,13.0,,UK,,274444.0,1
Startup_347,Fintech,653561,,386.0,,,,0
Startup_348,Ecommerce,NaN,,,UK,,,1
Startup_349,Health,,7.0,306.0,USA,,,0
Startup_350,Fintech,472845,,,,,618260.0,1
Startup_351,Edtech,1291835,16.0,,Germany,12.0,865038.0,1
Startup_352,Health,abc,10.0,,,,,1
Startup_353,Health,300195,,,Germany,14.0,761040.0,1
Startup_354,AI,576338,13.0,146.0,,8.0,576701.0,0
Startup_355,Ecommerce,NaN,4.0,,India,14.0,453816.0,1
Startup_356,Fintech,abc,,441.0,,14.0,787950.0,0
Startup_357,CleanTech,,15.0,309.0,Canada,,895863.0,0
Startup_358,Fintech,NaN,,,Canada,,,1
Startup_359,Fintech,961420,5.0,431.0,India,12.0,,0
Startup_360,Health,1754742,,,UK,11.0,,0
Startup_361,Edtech,,,157.0,Germany,7.0,,0
Startup_362,Fintech,NaN,8.0,152.0,UK,13.0,451413.0,0
Startup_363,Ecommerce,1402564,,497.0,UK,,,1
Startup_364,Edtech,352186,,317.0,Germany,,496072.0,0
Startup_365,Fintech,abc,,,UK,,,1
Startup_366,Ecommerce,,,219.0,,1.0,,0
Startup_367,Health,NaN,,65.0,Canada,11.0,27657.0,0
Startup_368,CleanTech,abc,,342.0,Germany,,394999.0,0
Startup_369,Edtech,,,,UK,,813719.0,1
Startup_370,Ecommerce,,,,USA,,647267.0,0
Startup_371,Ecommerce,abc,,102.0,Canada,,,1
Startup_372,Fintech,292615,,,India,12.0,,1
Startup_373,Health,377304,,,Canada,2.0,308075.0,1
Startup_374,Fintech,abc,,,USA,8.0,,1
Startup_375,Edtech,abc,,,Canada,2.0,45559.0,0
Startup_376,AI,,,,India,8.0,,0
Startup_377,Fintech,NaN,,94.0,India,,912964.0,1
Startup_378,Fintech,abc,13.0,288.0,,,106988.0,0
Startup_379,Ecommerce,NaN,,,Canada,13.0,526079.0,0
Startup_380,Ecommerce,576684,,190.0,,,676951.0,1
Startup_381,AI,abc,,44.0,UK,11.0,,0
Startup_382,CleanTech,149616,6.0,220.0,Germany,,,0
Startup_383,Ecommerce,773035,1.0,,,,496840.0,1
Startup_384,Fintech,,11.0,49.0,USA,,,0
Startup_385,AI,,4.0,,Germany,,,0
Startup_386,Ecommerce,,,,UK,,,0
Startup_387,AI,,,,,7.0,,0
Startup_388,AI,abc,,441.0,Canada,14.0,62534.0,0
Startup_389,Fintech,abc,18.0,360.0,India,2.0,,1
Startup_390,CleanTech,1287580,12.0,,Canada,2.0,762623.0,1
Startup_391,Fintech,abc,14.0,,UK,1.0,,1
Startup_392,Fintech,NaN,,192.0,Canada,8.0,345996.0,1
Startup_393,Edtech,,,330.0,Canada,3.0,198589.0,1
Startup_394,AI,NaN,,237.0,UK,,,1
Startup_395,CleanTech,,,226.0,Germany,5.0,,1
Startup_396,Ecommerce,1049701,4.0,408.0,,,,1
Startup_397,Edtech,188563,,,India,,,0
Startup_398,Edtech,abc,1.0,26.0,India,10.0,396826.0,0
Startup_399,Ecommerce,abc,18.0,274.0,USA,,696555.0,1
Startup_400,Fintech,abc,3.0,440.0,UK,,,0
Startup_401,Health,792406,11.0,37.0,UK,6.0,,1
Startup_402,Fintech,abc,19.0,,Germany,10.0,247286.0,0
Startup_403,Health,,,434.0,USA,2.0,,1
Startup_404,Ecommerce,abc,3.0,401.0,Germany,9.0,,1
Startup_405,Ecommerce,774238,11.0,376.0,UK,2.0,,0
Startup_406,CleanTech,abc,,,USA,,,1
Startup_407,CleanTech,abc,12.0,444.0,Germany,12.0,315900.0,1
Startup_408,Health,,,468.0,Germany,,441818.0,1
Startup_409,Ecommerce,abc,,,Germany,9.0,,1
Startup_410,Ecommerce,440530,1.0,,UK,12.0,,0
Startup_411,Fintech,abc,,,UK,1.0,258360.0,1
Startup_412,Ecommerce,abc,,,UK,12.0,300783.0,1
Startup_413,AI,abc,8.0,,UK,,,1
Startup_414,AI,,8.0,83.0,USA,,,0
Startup_415,Health,abc,,391.0,UK,,627167.0,0
Startup_416,Ecommerce,1006331,,408.0,India,,,1
Startup_417,AI,NaN,,459.0,India,,,1
Startup_418,Edtech,,,,India,,,0
Startup_419,Fintech,abc,,,USA,,274346.0,0
Startup_420,Fintech,659996,,,India,5.0,,0
Startup_421,Health,,18.0,370.0,,6.0,701503.0,1
Startup_422,CleanTech,abc,,,,1.0,,0
Startup_423,Edtech,,,,Germany,,184053.0,1
Startup_424,CleanTech,NaN,,,USA,,407960.0,0
Startup_425,Ecommerce,495485,15.0,84.0,USA,,,1
Startup_426,Health,,,206.0,Canada,8.0,,1
Startup_427,Health,1422401,1.0,,,1.0,964928.0,0
Startup_428,Fintech,948792,13.0,,UK,,,0
Startup_429,Health,NaN,7.0,,USA,,698758.0,1
Startup_430,Health,,,126.0,UK,2.0,,1
Startup_431,AI,1953585,,379.0,India,12.0,,1
Startup_432,Edtech,,11.0,321.0,USA,,987290.0,1
Startup_433,Ecommerce,abc,9.0,266.0,,9.0,,1
Startup_434,Health,699438,,,USA,,533287.0,1
Startup_435,Ecommerce,,,,USA,,,0
Startup_436,CleanTech,456845,15.0,,India,7.0,774122.0,0
Startup_437,AI,abc,16.0,,UK,,,1
Startup_438,Edtech,abc,,,UK,9.0,,0
Startup_439,Fintech,669369,,463.0,Canada,2.0,,0
Startup_440,Ecommerce,NaN,,401.0,UK,9.0,,0
Startup_441,Ecommerce,NaN,,59.0,Canada,14.0,,0
Startup_442,Health,644604,8.0,,USA,7.0,284500.0,0
Startup_443,Ecommerce,120326,,,USA,,,0
Startup_444,Health,NaN,19.0,,Canada,,,1
Startup_445,AI,NaN,3.0,,UK,,,0
Startup_446,Edtech,abc,,,UK,7.0,967531.0,0
Startup_447,AI,NaN,,,Canada,12.0,,1
Startup_448,AI,abc,18.0,181.0,USA,,286847.0,1
Startup_449,AI,abc,4.0,254.0,USA,,,0
Startup_450,CleanTech,NaN,,,Canada,2.0,,0
Startup_451,Health,NaN,,,India,,720601.0,0
Startup_452,AI,NaN,,135.0,USA,,932935.0,1
Startup_453,Fintech,NaN,15.0,229.0,UK,3.0,540985.0,1
Startup_454,Edtech,69975,,,Germany,14.0,,1
Startup_455,Health,abc,,338.0,UK,2.0,,1
Startup_456,AI,1911924,5.0,426.0,Germany,,,0
Startup_457,CleanTech,NaN,15.0,,UK,,317190.0,1
Startup_458,Ecommerce,NaN,,,Germany,,,1
Startup_459,Ecommerce,abc,,167.0,India,,164832.0,1
Startup_460,CleanTech,abc,,,Canada,,,1
Startup_461,Health,,15.0,,India,,727593.0,1
Startup_462,Edtech,1143314,14.0,84.0,Canada,10.0,,1
Startup_463,Health,NaN,12.0,354.0,India,,979744.0,0
Startup_464,Edtech,973780,8.0,,USA,12.0,,1
Startup_465,Fintech,,11.0,425.0,Germany,5.0,,0
Startup_466,Health,,,,,12.0,361815.0,0
Startup_467,Fintech,abc,,211.0,,6.0,151691.0,0
Startup_468,Ecommerce,abc,18.0,,UK,,,1
Startup_469,Ecommerce,,5.0,24.0,UK,,178492.0,0
Startup_470,CleanTech,,,,India,,,1
Startup_471,AI,NaN,5.0,165.0,,1.0,870610.0,1
Startup_472,Health,346141,12.0,,UK,4.0,268500.0,0
Startup_473,AI,,,130.0,India,2.0,589560.0,0
Startup_474,AI,NaN,7.0,227.0,India,8.0,944142.0,0
Startup_475,Fintech,1105146,,,India,12.0,99141.0,0
Startup_476,CleanTech,62115,,,USA,,,1
Startup_477,Health,447686,,,USA,1.0,,0
Startup_478,Ecommerce,NaN,,,Germany,,,0
Startup_479,Ecommerce,abc,1.0,,Germany,7.0,,0
Startup_480,Ecommerce,,10.0,,,2.0,,1
Startup_481,AI,,,,Germany,,,0
Startup_482,Fintech,,,349.0,UK,,,1
